Active Cases_text,Country_text,Last Update,New Cases_text,New Deaths_text,Total Cases_text,Total Deaths_text,Total Recovered_text
,Dominican Republic,,,,"660,848","4,384","644,785"
,Cyprus,2023-03-26 14:38,,,"654,714","1,345","649,340"
,Myanmar,2023-03-26 14:38,,,"634,072","19,490","614,494"
,Palestine,2023-03-26 11:35,,,"621,008","5,404","615,445"
,Moldova,2023-03-26 13:36,,,"616,345","12,048","504,142"
,Estonia,2023-03-26 14:38,,,"616,099","2,957","524,990"
,Venezuela,2023-03-26 11:35,,,"552,332","5,854","546,195"
,Egypt,2023-03-26 11:35,,,"515,852","24,613","442,182"
,Libya,2023-03-26 11:35,,,"507,206","6,437","500,764"
,China,2023-03-26 11:35,,,"503,302","5,272","379,053"
,Ethiopia,2023-03-26 11:35,,,"500,436","7,573","487,473"
+852,Qatar,2023-03-26 13:36,+249,,"498,161",688,"496,613"
,Réunion,,,,"486,588",921,"418,572"
N/A,Honduras,2023-03-26 11:35,,,"472,439","11,111",N/A
,Armenia,2023-03-26 11:35,,,"447,778","8,733","435,162"
,Bosnia and Herzegovina,2023-03-25 20:29,,,"401,973","16,296","379,084"
,Oman,2023-03-26 11:35,,,"399,449","4,628","384,669"
,North Macedonia,2023-03-25 19:29,,,"347,327","9,665","337,068"
,Zambia,2023-03-26 12:35,,,"343,556","4,057","339,276"
,Kenya,2023-03-26 14:38,,,"342,958","5,688","337,243"
,Albania,2023-03-26 14:38,,,"334,579","3,600","329,285"
,Botswana,2023-03-26 14:38,,,"329,785","2,801","326,969"
,Luxembourg,2023-03-26 11:35,,,"297,757","1,133","288,991"
,Montenegro,2023-03-26 14:38,,,"289,719","2,813","286,176"
,Brunei,2023-03-26 11:35,,,"280,790",225,"243,601"
,Algeria,2023-03-26 11:35,,,"271,568","6,881","182,893"
,Nigeria,2023-03-26 14:38,,,"266,641","3,155","259,938"
,Zimbabwe,2023-03-26 11:35,,,"264,456","5,678","258,484"
,Uzbekistan,2023-03-26 11:35,,,"251,660","1,637","241,486"
,Mozambique,2023-03-26 11:35,,,"233,214","2,242","228,805"
N/A,Martinique,2023-03-26 11:35,,,"229,807","1,098",N/A
N/A,Laos,2023-03-26 11:35,,,"218,033",758,N/A
+129,Afghanistan,2023-03-26 11:35,+92,,"210,118","7,896","192,132"
N/A,Iceland,2023-03-26 11:35,,,"209,191",229,N/A
,Kyrgyzstan,2023-03-26 11:35,,,"206,740","2,991","196,406"
N/A,Guadeloupe,2023-03-26 11:35,,,"202,004","1,010",N/A
,El Salvador,2023-03-25 10:25,,,"201,785","4,230","179,410"
,Trinidad and Tobago,,,,"190,735","4,368","186,234"
,Maldives,2023-03-26 11:35,,,"185,755",311,"163,687"
,Ghana,2023-03-26 12:35,,,"171,412","1,462","169,896"
,Namibia,2023-03-26 11:35,,,"171,222","4,090","167,099"
,Uganda,2023-03-26 11:35,,,"170,570","3,630","100,431"
,Jamaica,2023-03-26 14:38,,,"154,538","3,528","102,572"
,Cambodia,2023-03-26 11:35,,,"138,723","3,056","135,665"
,Rwanda,2023-03-26 11:35,,,"133,194","1,468","131,647"
,Cameroon,2023-03-26 11:35,,,"124,741","1,968","122,640"
,Malta,2023-03-26 12:35,,,"117,898",831,"116,379"
,Barbados,2023-03-26 11:35,,,"106,798",579,"106,211"
,Angola,2023-03-26 11:35,,,"105,298","1,933","103,342"
,Channel Islands,,,,"101,626",228,"101,233"
,French Guiana,,,,"98,041",420,"11,254"
,DRC,2023-03-26 11:35,,,"95,862","1,464","84,395"
,Senegal,2023-03-26 11:35,,,"88,951","1,971","86,967"
,Malawi,2023-03-26 11:35,,,"88,711","2,686","85,619"
,Ivory Coast,2023-03-25 16:28,,,"88,297",834,"87,452"
N/A,Suriname,2023-03-26 11:35,,,"82,467","1,404",N/A
,New Caledonia,2023-03-25 16:28,,,"79,896",314,"79,567"
N/A,French Polynesia,,,,"78,101",649,N/A
,Eswatini,2023-03-26 11:35,,,"74,323","1,425","72,824"
,Guyana,2023-03-26 12:35,,,"73,114","1,298","71,796"
,Belize,2023-03-26 11:35,,,"70,782",688,"70,085"
,Fiji,2023-03-26 11:35,,,"68,911",883,"67,014"
,Madagascar,2023-03-26 11:35,,,"67,971","1,424","66,520"
,Sudan,2023-03-26 13:36,,,"63,899","5,026","58,569"
,Mauritania,2023-03-26 11:35,,,"63,668",997,"62,441"
,Cabo Verde,,,,"63,252",413,"62,781"
,Bhutan,2023-03-26 11:35,,,"62,647",21,"61,564"
,Syria,2023-03-26 11:35,,,"57,489","3,164","54,325"
,Burundi,2023-03-26 11:35,,,"53,661",38,"53,569"
,Seychelles,2023-03-26 11:35,,,"50,937",172,"50,750"
,Gabon,2023-03-26 11:35,,,"48,981",306,"48,674"
,Andorra,2023-03-26 11:35,,,"47,908",165,"47,563"
,Papua New Guinea,,,,"46,826",670,"43,982"
,Curaçao,,,,"45,986",295,"44,720"
,Aruba,2023-03-26 11:35,,,"44,082",236,"42,438"
N/A,Tanzania,2023-03-26 11:35,,,"42,942",846,N/A
N/A,Mayotte,2023-03-26 11:35,,,"42,004",188,N/A
,Mauritius,2023-03-26 11:35,,,"41,821","1,043","40,106"
,Togo,2023-03-26 11:35,,,"39,439",290,"39,121"
,Guinea,2023-03-26 13:36,,,"38,280",467,"37,757"
N/A,Isle of Man,2023-03-25 22:30,,,"38,008",116,N/A
,Bahamas,2023-03-26 11:35,,,"37,491",833,"36,366"
,Lesotho,2023-03-26 11:35,,,"34,790",723,"25,980"
N/A,Faeroe Islands,,,,"34,658",28,N/A
,Haiti,2023-03-26 11:35,,,"34,202",860,"33,052"
,Mali,2023-03-26 11:35,,,"33,101",743,"32,269"
,Cayman Islands,,,,"31,472",37,"8,553"
,Saint Lucia,,,,"30,028",409,"29,095"
,Benin,2023-03-26 11:35,,,"27,999",163,"27,830"
,Somalia,2023-03-26 11:35,,,"27,334","1,361","13,182"
,Congo,2023-03-26 11:35,,,"25,375",386,"24,006"
N/A,Solomon Islands,,,,"24,575",153,N/A
N/A,Micronesia,2023-03-24 17:20,,,"24,195",63,N/A
,San Marino,,,,"23,747",123,"23,574"
,Timor-Leste,2023-03-26 11:35,,,"23,422",138,"23,102"
,Burkina Faso,,,,"22,056",396,"21,596"
,Liechtenstein,2023-03-26 11:35,,,"21,437",91,"21,343"
,Gibraltar,2023-03-26 11:35,,,"20,462",111,"16,579"
,Grenada,2023-03-26 11:35,,,"19,680",238,"19,358"
,Bermuda,2023-03-26 11:35,,,"18,849",163,"18,673"
,Nicaragua,2023-03-26 14:38,,,"18,491",225,"4,225"
,South Sudan,,,,"18,368",138,"18,115"
,Tajikistan,2023-03-26 11:35,,,"17,786",125,"17,264"
,Equatorial Guinea,,,,"17,229",183,"16,907"
,Tonga,,,,"16,813",13,"15,638"
,Samoa,,,,"16,673",31,"1,605"
,Monaco,2023-03-26 11:35,,,"16,135",67,"15,992"
,Dominica,2023-03-26 11:35,,,"15,760",74,"15,673"
,Marshall Islands,,,,"15,723",17,"15,621"
,Djibouti,2023-03-26 11:35,,,"15,690",189,"15,427"
,CAR,2023-03-26 11:35,,,"15,368",113,"15,200"
,Gambia,2023-03-26 11:35,,,"12,598",372,"12,189"
,Saint Martin,,,,"12,276",63,"1,399"
,Vanuatu,,,,"12,014",14,"11,976"
,Greenland,2023-03-26 11:35,,,"11,971",21,"2,761"
,Yemen,2023-03-26 11:35,,,"11,945","2,159","9,124"
,Caribbean Netherlands,,,,"11,682",38,"10,476"
,Sint Maarten,2023-03-25 11:26,,,"11,023",91,"10,905"
,Eritrea,2023-03-26 11:35,,,"10,189",103,"10,086"
,Niger,2023-03-26 11:35,,,"9,931",312,"8,890"
,St. Vincent Grenadines,,,,"9,593",124,"9,466"
,Guinea-Bissau,2023-03-26 11:35,,,"9,134",176,"8,720"
,Antigua and Barbuda,2023-03-22 23:04,,,"9,106",146,"8,954"
,Comoros,2023-03-26 11:35,,,"9,067",161,"8,885"
,Liberia,2023-03-26 11:35,,,"8,090",295,"7,783"
N/A,Sierra Leone,,,,"7,762",126,N/A
,Chad,2023-03-26 11:35,,,"7,685",194,"4,874"
N/A,British Virgin Islands,,,,"7,305",64,N/A
,Cook Islands,,,,"7,033",2,"7,030"
,Saint Kitts and Nevis,,,,"6,597",48,"6,549"
,Turks and Caicos,,,,"6,565",38,"6,509"
,Sao Tome and Principe,,,,"6,349",77,"6,219"
,Palau,,,,"5,997",9,"5,985"
N/A,St. Barth,,,,"5,459",6,N/A
,Nauru,2023-03-25 21:30,,,"5,393",1,"5,347"
,Kiribati,2023-03-25 16:28,,,"5,014",18,"2,703"
,Anguilla,2023-03-26 11:35,,,"3,904",12,"3,879"
,Macao,2023-03-26 11:35,,,"3,515",121,"3,392"
,Saint Pierre Miquelon,,,,"3,452",2,"2,449"
,Wallis and Futuna,,,,"3,427",7,438
,Tuvalu,,,,"2,805",,
,Saint Helena,,,,"2,166",,2
,Falkland Islands,2023-03-25 20:29,,,"1,930",,"1,930"
,Montserrat,2023-03-26 11:35,,,"1,403",8,"1,376"
,Niue,,,,796,,794
,Diamond Princess,,,,712,13,699
,Vatican City,2023-03-21 19:51,,,29,,29
,Western Sahara,,,,10,1,9
,MS Zaandam,,,,9,2,7
,Tokelau,2023-03-25 12:26,,,5,,
,,2023-03-26 14:38,,,,,
